file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710203_2.fastq.gz	FASTQ	DNA	3346730	429671169	1	128.4	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710204_2.fastq.gz	FASTQ	DNA	1553608	190510729	16	122.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710206_2.fastq.gz	FASTQ	DNA	1581653	220177427	16	139.2	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710207_2.fastq.gz	FASTQ	DNA	2999796	395471230	1	131.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710212_2.fastq.gz	FASTQ	DNA	270469	30481998	16	112.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710213_2.fastq.gz	FASTQ	DNA	208936	25506935	15	122.1	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710214_2.fastq.gz	FASTQ	DNA	292732	35658114	15	121.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710215_2.fastq.gz	FASTQ	DNA	9309	1103873	23	118.6	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710222_2.fastq.gz	FASTQ	DNA	587039	70295152	19	119.7	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710223_2.fastq.gz	FASTQ	DNA	645219	77322910	19	119.8	151
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710265_2.fastq.gz	FASTQ	DNA	719595	127492365	19	177.2	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710266_2.fastq.gz	FASTQ	DNA	2086385	394102464	19	188.9	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710267_2.fastq.gz	FASTQ	DNA	141313	25752604	23	182.2	251
/work3/josne/github/27221-Microbiome-Engineering_2027/Module2_MetaG/coassembly56/depleted_reads/SRR29710268_2.fastq.gz	FASTQ	DNA	686750	120467076	19	175.4	251
